adj_stock,company,date,month_year,stock,symbol,rating,log_perf_adj
27.35,Apple Inc.,2015-11-30,2015-11,29.76,AAPL,,
26.0,Apple Inc.,2015-12-07,2015-12,28.30,AAPL,,-0.050619990846508145
24.36,Apple Inc.,2015-12-14,2015-12,26.51,AAPL,,-0.06515409517978599
24.82,Apple Inc.,2015-12-21,2015-12,27.01,AAPL,,0.018707336934765006
24.18,Apple Inc.,2015-12-28,2015-12,26.32,AAPL,,-0.026123934589814546
22.28,Apple Inc.,2016-01-04,2016-01,24.24,AAPL,,-0.08183643012756336
22.31,Apple Inc.,2016-01-11,2016-01,24.28,AAPL,,0.0013455933853578905
23.3,Apple Inc.,2016-01-18,2016-01,25.35,AAPL,,0.043418352127213566
22.36,Apple Inc.,2016-01-25,2016-01,24.33,AAPL,,-0.04117971228475614
21.6,Apple Inc.,2016-02-01,2016-02,23.50,AAPL,,-0.034580333596779145
21.71,Apple Inc.,2016-02-08,2016-02,23.50,AAPL,,0.005079669200080961
22.18,Apple Inc.,2016-02-15,2016-02,24.01,AAPL,,0.021417998032020602
22.38,Apple Inc.,2016-02-22,2016-02,24.23,AAPL,,0.008976720961558105
23.79,Apple Inc.,2016-02-29,2016-02,25.75,AAPL,,0.06109762143108721
23.62,Apple Inc.,2016-03-07,2016-03,25.57,AAPL,,-0.007171513545650043
24.47,Apple Inc.,2016-03-13,2016-03,26.48,AAPL,,0.03535406668536378
24.41,Apple Inc.,2016-03-20,2016-03,26.42,AAPL,,-0.002454993049711529
25.41,Apple Inc.,2016-03-27,2016-03,27.50,AAPL,,0.040149912927204046
25.1,Apple Inc.,2016-04-03,2016-04,27.17,AAPL,,-0.012274951194334083
25.37,Apple Inc.,2016-04-10,2016-04,27.46,AAPL,,0.010699527473452264
24.41,Apple Inc.,2016-04-17,2016-04,26.42,AAPL,,-0.03857448920632223
21.65,Apple Inc.,2016-04-24,2016-04,23.43,AAPL,,-0.11998742995636968
21.42,Apple Inc.,2016-05-01,2016-05,23.18,AAPL,,-0.010680389428896042
21.04,Apple Inc.,2016-05-08,2016-05,22.63,AAPL,,-0.017899677150093662
22.13,Apple Inc.,2016-05-15,2016-05,23.81,AAPL,,0.05050876619344935
23.32,Apple Inc.,2016-05-22,2016-05,25.09,AAPL,,0.05237720741933316
22.76,Apple Inc.,2016-05-29,2016-05,24.48,AAPL,,-0.024306752224161343
22.97,Apple Inc.,2016-06-05,2016-06,24.71,AAPL,,0.00918440744287663
22.15,Apple Inc.,2016-06-12,2016-06,23.83,AAPL,,-0.03635152020986254
21.71,Apple Inc.,2016-06-19,2016-06,23.35,AAPL,,-0.020064512600943996
22.28,Apple Inc.,2016-06-26,2016-06,23.97,AAPL,,0.02591643116888287
22.47,Apple Inc.,2016-07-03,2016-07,24.17,AAPL,,0.008491671138154633
22.96,Apple Inc.,2016-07-10,2016-07,24.69,AAPL,,0.021572485254127916
22.93,Apple Inc.,2016-07-17,2016-07,24.67,AAPL,,-0.001307474581552892
24.22,Apple Inc.,2016-07-24,2016-07,26.05,AAPL,,0.05473264125513344
24.98,Apple Inc.,2016-07-31,2016-07,26.87,AAPL,,0.0308967665724853
25.28,Apple Inc.,2016-08-07,2016-08,27.05,AAPL,A,0.011938064581225039
25.55,Apple Inc.,2016-08-14,2016-08,27.34,AAPL,A,0.010623747371056869
24.99,Apple Inc.,2016-08-21,2016-08,26.74,AAPL,A,-0.02216157180285272
25.17,Apple Inc.,2016-08-28,2016-08,26.93,AAPL,A,0.007177064300363689
24.1,Apple Inc.,2016-09-04,2016-09,25.78,AAPL,A,-0.0434409686506152
26.85,Apple Inc.,2016-09-11,2016-09,28.73,AAPL,A,0.10805398045826431
26.33,Apple Inc.,2016-09-18,2016-09,28.18,AAPL,A,-0.019556847446655645
26.41,Apple Inc.,2016-09-25,2016-09,28.26,AAPL,A,0.003033752800822853
26.65,Apple Inc.,2016-10-02,2016-10,28.51,AAPL,A,0.00904642430281255
27.48,Apple Inc.,2016-10-09,2016-10,29.41,AAPL,A,0.030669316742295116
27.24,Apple Inc.,2016-10-16,2016-10,29.15,AAPL,A,-0.008771986072837024
26.57,Apple Inc.,2016-10-23,2016-10,28.43,AAPL,A,-0.024903721509589527
25.43,Apple Inc.,2016-10-30,2016-10,27.21,AAPL,A,-0.04385318033769359
25.46,Apple Inc.,2016-11-07,2016-11,27.11,AAPL,A,0.0011790136952321006
25.85,Apple Inc.,2016-11-14,2016-11,27.51,AAPL,A,0.015202007825177777
26.25,Apple Inc.,2016-11-21,2016-11,27.95,AAPL,A,0.015355388083194477
25.81,Apple Inc.,2016-11-28,2016-11,27.48,AAPL,A,-0.016903975307110297
26.76,Apple Inc.,2016-12-05,2016-12,28.49,AAPL,A,0.03614622152950542
27.24,Apple Inc.,2016-12-12,2016-12,28.99,AAPL,A,0.01777824602128364
27.36,Apple Inc.,2016-12-19,2016-12,29.13,AAPL,A,0.00439561147303813
27.2,Apple Inc.,2016-12-26,2016-12,28.95,AAPL,A,-0.005865119452398204
27.69,Apple Inc.,2017-01-02,2017-01,29.48,AAPL,A,0.01785436388091899
27.96,Apple Inc.,2017-01-09,2017-01,29.76,AAPL,A,0.009703580182739202
28.18,Apple Inc.,2017-01-16,2017-01,30.00,AAPL,A,0.007837589104924714
28.64,Apple Inc.,2017-01-23,2017-01,30.49,AAPL,A,0.0161918356219104
30.31,Apple Inc.,2017-01-30,2017-01,32.27,AAPL,A,0.05667334897726706
31.03,Apple Inc.,2017-02-06,2017-02,33.03,AAPL,A,0.023476787390577236
32.01,Apple Inc.,2017-02-13,2017-02,33.93,AAPL,A,0.031093875521482683
32.23,Apple Inc.,2017-02-20,2017-02,34.17,AAPL,A,0.006849341845574841
32.97,Apple Inc.,2017-02-27,2017-02,34.94,AAPL,A,0.022700361256293267
32.82,Apple Inc.,2017-03-06,2017-03,34.78,AAPL,A,-0.004559971421695064
33.02,Apple Inc.,2017-03-12,2017-03,35.00,AAPL,A,0.0060753528300372395
33.17,Apple Inc.,2017-03-19,2017-03,35.16,AAPL,A,0.004532414466979162
33.88,Apple Inc.,2017-03-26,2017-03,35.92,AAPL,A,0.02117901682489265
33.81,Apple Inc.,2017-04-02,2017-04,35.83,AAPL,A,-0.0020682530640590002
33.27,Apple Inc.,2017-04-09,2017-04,35.26,AAPL,A,-0.0161005266894092
33.56,Apple Inc.,2017-04-16,2017-04,35.57,AAPL,A,0.008678791568619726
33.88,Apple Inc.,2017-04-23,2017-04,35.91,AAPL,A,0.009489988184848475
35.13,Apple Inc.,2017-04-30,2017-04,37.24,AAPL,A,0.03623059649388205
36.82,Apple Inc.,2017-05-07,2017-05,39.03,AAPL,A,0.04698570952719594
36.25,Apple Inc.,2017-05-14,2017-05,38.26,AAPL,A,-0.015601794504247923
36.38,Apple Inc.,2017-05-21,2017-05,38.40,AAPL,A,0.0035797917892925746
36.82,Apple Inc.,2017-05-28,2017-05,38.86,AAPL,A,0.012022002714955349
35.28,Apple Inc.,2017-06-04,2017-06,37.24,AAPL,A,-0.04272494466634136
33.7,Apple Inc.,2017-06-11,2017-06,35.57,AAPL,A,-0.0458183937802743
34.64,Apple Inc.,2017-06-18,2017-06,36.57,AAPL,A,0.027511246335918393
34.11,Apple Inc.,2017-06-25,2017-06,36.01,AAPL,A,-0.015418487263680003
34.15,Apple Inc.,2017-07-02,2017-07,36.04,AAPL,A,0.0011719895862443153
35.3,Apple Inc.,2017-07-09,2017-07,37.26,AAPL,A,0.03312037792245226
35.59,Apple Inc.,2017-07-16,2017-07,37.57,AAPL,A,0.00818173558285018
35.41,Apple Inc.,2017-07-23,2017-07,37.38,AAPL,A,-0.005070433398289165
37.04,Apple Inc.,2017-07-30,2017-07,39.10,AAPL,A,0.045004143654166384
37.3,Apple Inc.,2017-08-06,2017-08,39.37,AAPL,A,0.0069949168717911014
37.45,Apple Inc.,2017-08-13,2017-08,39.38,AAPL,A,0.004013383313458796
38.01,Apple Inc.,2017-08-20,2017-08,39.97,AAPL,A,0.014842573037928908
39.01,Apple Inc.,2017-08-27,2017-08,41.01,AAPL,A,0.025968740517407607
37.72,Apple Inc.,2017-09-03,2017-09,39.66,AAPL,A,-0.033627565753308275
38.01,Apple Inc.,2017-09-10,2017-09,39.97,AAPL,A,0.007658825235900668
36.11,Apple Inc.,2017-09-17,2017-09,37.97,AAPL,A,-0.051279447711790827
36.65,Apple Inc.,2017-09-24,2017-09,38.53,AAPL,A,0.014843593043293968
36.93,Apple Inc.,2017-10-01,2017-10,38.83,AAPL,A,0.007610800531811179
37.33,Apple Inc.,2017-10-08,2017-10,39.25,AAPL,A,0.010773064062020943
37.15,Apple Inc.,2017-10-15,2017-10,39.06,AAPL,A,-0.004833521762724224
38.77,Apple Inc.,2017-10-22,2017-10,40.76,AAPL,A,0.0426829805190696
41.02,Apple Inc.,2017-10-29,2017-10,43.13,AAPL,A,0.056413000961396786
41.53,Apple Inc.,2017-11-06,2017-11,43.67,AAPL,A,0.012356304998427436
40.6,Apple Inc.,2017-11-13,2017-11,42.54,AAPL,A,-0.022647991034975057
41.75,Apple Inc.,2017-11-20,2017-11,43.74,AAPL,A,0.027931384689177552
40.82,Apple Inc.,2017-11-27,2017-11,42.76,AAPL,A,-0.022527293915165725
40.42,Apple Inc.,2017-12-04,2017-12,42.34,AAPL,A,-0.009847445406224065
41.51,Apple Inc.,2017-12-11,2017-12,43.49,AAPL,A,0.02660965008947258
41.76,Apple Inc.,2017-12-18,2017-12,43.75,AAPL,A,0.006004581509435614
40.38,Apple Inc.,2017-12-25,2017-12,42.31,AAPL,A,-0.0336043306896916
41.76,Apple Inc.,2018-01-01,2018-01,43.75,AAPL,A,0.0336043306896916
42.26,Apple Inc.,2018-01-08,2018-01,44.27,AAPL,A,0.011902068613527383
42.59,Apple Inc.,2018-01-15,2018-01,44.62,AAPL,A,0.007778471747211579
40.93,Apple Inc.,2018-01-22,2018-01,42.88,AAPL,A,-0.039756193430810605
38.3,Apple Inc.,2018-01-29,2018-01,40.13,AAPL,A,-0.0664133943177112
37.32,Apple Inc.,2018-02-05,2018-02,39.10,AAPL,A,-0.025920520207457276
41.31,Apple Inc.,2018-02-12,2018-02,43.11,AAPL,A,0.10157522542953012
42.05,Apple Inc.,2018-02-19,2018-02,43.88,AAPL,A,0.017754785010283936
42.22,Apple Inc.,2018-02-26,2018-02,44.05,AAPL,A,0.0040346560012176624
43.12,Apple Inc.,2018-03-05,2018-03,44.99,AAPL,A,0.021092884180566873
42.65,Apple Inc.,2018-03-11,2018-03,44.51,AAPL,A,-0.010959652663053543
39.52,Apple Inc.,2018-03-18,2018-03,41.24,AAPL,A,-0.07622040105802075
40.2,Apple Inc.,2018-03-25,2018-03,41.94,AAPL,A,0.017060122745308437
40.34,Apple Inc.,2018-04-01,2018-04,42.10,AAPL,A,0.003476536901090288
41.86,Apple Inc.,2018-04-08,2018-04,43.68,AAPL,A,0.036987184491787506
39.71,Apple Inc.,2018-04-15,2018-04,41.43,AAPL,A,-0.05272767187469318
38.89,Apple Inc.,2018-04-22,2018-04,40.58,AAPL,A,-0.020865896975504228
44.05,Apple Inc.,2018-04-29,2018-04,45.96,AAPL,A,0.12458820421453254
45.19,Apple Inc.,2018-05-06,2018-05,47.15,AAPL,A,0.0255504710409995
44.81,Apple Inc.,2018-05-13,2018-05,46.58,AAPL,A,-0.0084444946251363
45.36,Apple Inc.,2018-05-20,2018-05,47.15,AAPL,A,0.012199330621444737
45.76,Apple Inc.,2018-05-27,2018-05,47.56,AAPL,A,0.008779687652046064
46.11,Apple Inc.,2018-06-03,2018-06,47.92,AAPL,A,0.007619499147071718
45.42,Apple Inc.,2018-06-10,2018-06,47.21,AAPL,A,-0.015077309541201789
44.48,Apple Inc.,2018-06-17,2018-06,46.23,AAPL,A,-0.020912886735085845
44.52,Apple Inc.,2018-06-24,2018-06,46.28,AAPL,A,0.0008988764650172953
45.21,Apple Inc.,2018-07-01,2018-07,46.99,AAPL,A,0.015379774899169973
46.02,Apple Inc.,2018-07-08,2018-07,47.83,AAPL,A,0.017757783300706098
46.05,Apple Inc.,2018-07-15,2018-07,47.86,AAPL,A,0.0006516780940959421
45.93,Apple Inc.,2018-07-22,2018-07,47.74,AAPL,A,-0.0026092643636137502
50.03,Apple Inc.,2018-07-29,2018-07,52.00,AAPL,A,0.08550432716241163
49.92,Apple Inc.,2018-08-05,2018-08,51.88,AAPL,A,-0.0022011014389415884
52.52,Apple Inc.,2018-08-12,2018-08,54.40,AAPL,A,0.05077232537342313
52.17,Apple Inc.,2018-08-19,2018-08,54.04,AAPL,A,-0.0066864324002939846
54.94,Apple Inc.,2018-08-26,2018-08,56.91,AAPL,A,0.05173406363282673
53.41,Apple Inc.,2018-09-02,2018-09,55.33,AAPL,A,-0.028243686315449157
54.03,Apple Inc.,2018-09-09,2018-09,55.96,AAPL,A,0.011541453504295252
52.54,Apple Inc.,2018-09-16,2018-09,54.42,AAPL,A,-0.027964663598580408
54.49,Apple Inc.,2018-09-23,2018-09,56.44,AAPL,A,0.036442414337613194
54.14,Apple Inc.,2018-09-30,2018-09,56.07,AAPL,A,-0.006443914408851725
53.61,Apple Inc.,2018-10-07,2018-10,55.53,AAPL,A,-0.009837666346709018
52.93,Apple Inc.,2018-10-14,2018-10,54.83,AAPL,A,-0.012765331969549987
52.21,Apple Inc.,2018-10-21,2018-10,54.08,AAPL,A,-0.013696238447435505
50.08,Apple Inc.,2018-10-28,2018-10,51.87,AAPL,A,-0.041652320630617634
49.35,Apple Inc.,2018-11-05,2018-11,51.12,AAPL,A,-0.014683960912352578
46.87,Apple Inc.,2018-11-12,2018-11,48.38,AAPL,A,-0.05155995394487567
41.73,Apple Inc.,2018-11-19,2018-11,43.07,AAPL,A,-0.11615751733115376
43.25,Apple Inc.,2018-11-26,2018-11,44.65,AAPL,A,0.035776938774427336
40.81,Apple Inc.,2018-12-03,2018-12,42.12,AAPL,A,-0.05807008396017421
40.08,Apple Inc.,2018-12-10,2018-12,41.37,AAPL,A,-0.018049692641104897
36.51,Apple Inc.,2018-12-17,2018-12,37.68,AAPL,A,-0.09329126110906394
37.84,Apple Inc.,2018-12-24,2018-12,39.06,AAPL,A,0.035780548516131994
35.91,Apple Inc.,2018-12-31,2018-12,37.06,AAPL,A,-0.05235093594568596
36.89,Apple Inc.,2019-01-07,2019-01,38.07,AAPL,A,0.026924703370592606
37.98,Apple Inc.,2019-01-14,2019-01,39.21,AAPL,A,0.02911919377555572
38.21,Apple Inc.,2019-01-21,2019-01,39.44,AAPL,A,0.006037556074668604
40.33,Apple Inc.,2019-01-28,2019-01,41.63,AAPL,A,0.053998347426468474
41.27,Apple Inc.,2019-02-04,2019-02,42.60,AAPL,A,0.023040234879213806
41.45,Apple Inc.,2019-02-11,2019-02,42.60,AAPL,A,0.004352037816813148
42.07,Apple Inc.,2019-02-18,2019-02,43.24,AAPL,A,0.014847016021125814
42.56,Apple Inc.,2019-02-25,2019-02,43.74,AAPL,A,0.011579947430959248
42.06,Apple Inc.,2019-03-04,2019-03,43.23,AAPL,A,-0.011817674758835217
45.27,Apple Inc.,2019-03-10,2019-03,46.53,AAPL,A,0.07354739117331377
46.47,Apple Inc.,2019-03-17,2019-03,47.76,AAPL,A,0.026162381649019295
46.2,Apple Inc.,2019-03-24,2019-03,47.49,AAPL,A,-0.005827145009193568
47.92,Apple Inc.,2019-03-31,2019-03,49.25,AAPL,A,0.03655315571950091
48.37,Apple Inc.,2019-04-07,2019-04,49.72,AAPL,A,0.009346833027697787
49.59,Apple Inc.,2019-04-14,2019-04,50.97,AAPL,A,0.024909413666150737
49.7,Apple Inc.,2019-04-21,2019-04,51.08,AAPL,A,0.002215732601540399
51.51,Apple Inc.,2019-04-28,2019-04,52.94,AAPL,A,0.03577103047491059
47.96,Apple Inc.,2019-05-05,2019-05,49.29,AAPL,A,-0.07140863341818005
46.15,Apple Inc.,2019-05-12,2019-05,47.25,AAPL,A,-0.038470369210452215
43.7,Apple Inc.,2019-05-19,2019-05,44.74,AAPL,A,-0.05454885884731686
42.75,Apple Inc.,2019-05-26,2019-05,43.77,AAPL,A,-0.02197890671877545
46.43,Apple Inc.,2019-06-02,2019-06,47.54,AAPL,A,0.08257660664906119
47.06,Apple Inc.,2019-06-09,2019-06,48.19,AAPL,A,0.013477581267386185
48.54,Apple Inc.,2019-06-16,2019-06,49.69,AAPL,A,0.03096481699923892
48.33,Apple Inc.,2019-06-23,2019-06,49.48,AAPL,A,-0.004335714441462635
49.87,Apple Inc.,2019-06-30,2019-06,51.06,AAPL,A,0.03136713370103861
49.64,Apple Inc.,2019-07-07,2019-07,50.83,AAPL,A,-0.0046226592216247475
49.47,Apple Inc.,2019-07-14,2019-07,50.65,AAPL,A,-0.0034305350967893666
50.73,Apple Inc.,2019-07-21,2019-07,51.94,AAPL,A,0.025151026338981364
49.82,Apple Inc.,2019-07-28,2019-07,51.01,AAPL,A,-0.018100941744564114
49.08,Apple Inc.,2019-08-04,2019-08,50.25,AAPL,A,-0.014964889991323727
50.62,Apple Inc.,2019-08-11,2019-08,51.63,AAPL,A,0.030895135274267016
49.67,Apple Inc.,2019-08-18,2019-08,50.66,AAPL,A,-0.01894562599771854
51.16,Apple Inc.,2019-08-25,2019-08,52.19,AAPL,A,0.029556847591382773
52.27,Apple Inc.,2019-09-01,2019-09,53.31,AAPL,A,0.021464616014188476
53.62,Apple Inc.,2019-09-08,2019-09,54.69,AAPL,A,0.02549954008298272
53.37,Apple Inc.,2019-09-15,2019-09,54.43,AAPL,A,-0.0046733424619596065
53.64,Apple Inc.,2019-09-22,2019-09,54.71,AAPL,A,0.0050462680676242044
55.64,Apple Inc.,2019-09-29,2019-09,56.75,AAPL,A,0.0366073086417642
57.9,Apple Inc.,2019-10-06,2019-10,59.05,AAPL,A,0.03981501752370775
57.95,Apple Inc.,2019-10-13,2019-10,59.10,AAPL,A,0.0008631852068115009
60.44,Apple Inc.,2019-10-20,2019-10,61.65,AAPL,A,0.04207056761877759
62.7,Apple Inc.,2019-10-27,2019-10,63.96,AAPL,A,0.03671031023433624
63.76,Apple Inc.,2019-11-04,2019-11,65.04,AAPL,A,0.016764586843084572
65.34,Apple Inc.,2019-11-11,2019-11,66.44,AAPL,A,0.02447837169096445
64.36,Apple Inc.,2019-11-18,2019-11,65.44,AAPL,A,-0.015112084048741536
65.7,Apple Inc.,2019-11-25,2019-11,66.81,AAPL,A,0.020606603366382537
66.55,Apple Inc.,2019-12-02,2019-12,67.68,AAPL,A,0.012854619350555652
67.64,Apple Inc.,2019-12-09,2019-12,68.79,AAPL,A,0.016245979189259074
68.7,Apple Inc.,2019-12-16,2019-12,69.86,AAPL,A,0.015549675197924273
71.25,Apple Inc.,2019-12-23,2019-12,72.45,AAPL,A,0.03644561992045592
73.12,Apple Inc.,2019-12-30,2019-12,74.36,AAPL,A,0.025907107997134915
76.29,Apple Inc.,2020-01-06,2020-01,77.58,AAPL,A,0.04243994095624348
78.36,Apple Inc.,2020-01-13,2020-01,79.68,AAPL,A,0.02677172497420166
78.26,Apple Inc.,2020-01-20,2020-01,79.58,AAPL,A,-0.0012769762940738616
76.09,Apple Inc.,2020-01-27,2020-01,77.38,AAPL,A,-0.02811976659383486
78.68,Apple Inc.,2020-02-03,2020-02,80.01,AAPL,A,0.03347214333242743
80.08,Apple Inc.,2020-02-10,2020-02,81.24,AAPL,A,0.017637141486106067
77.14,Apple Inc.,2020-02-17,2020-02,78.26,AAPL,A,-0.03740418222688291
67.36,Apple Inc.,2020-02-24,2020-02,68.34,AAPL,A,-0.13557058284601098
71.23,Apple Inc.,2020-03-02,2020-03,72.26,AAPL,A,0.05586270805619176
68.5,Apple Inc.,2020-03-08,2020-03,69.49,AAPL,A,-0.039080332722083
56.49,Apple Inc.,2020-03-15,2020-03,57.31,AAPL,A,-0.19277011393100896
61.05,Apple Inc.,2020-03-22,2020-03,61.94,AAPL,A,0.07762956921954256
59.49,Apple Inc.,2020-03-29,2020-03,60.35,AAPL,A,-0.025884969356899212
66.04,Apple Inc.,2020-04-05,2020-04,67.00,AAPL,A,0.1044523878521133
69.69,Apple Inc.,2020-04-12,2020-04,70.70,AAPL,A,0.053796216398500185
69.73,Apple Inc.,2020-04-19,2020-04,70.74,AAPL,A,0.0005738057824915543
71.24,Apple Inc.,2020-04-26,2020-04,72.27,AAPL,A,0.021423817188542138
76.43,Apple Inc.,2020-05-03,2020-05,77.53,AAPL,A,0.07032083083333163
76.66,Apple Inc.,2020-05-10,2020-05,76.93,AAPL,A,0.003004770697615733
79.44,Apple Inc.,2020-05-17,2020-05,79.72,AAPL,A,0.03562195978450866
79.21,Apple Inc.,2020-05-24,2020-05,79.49,AAPL,A,-0.0028994662607289
82.58,Apple Inc.,2020-05-31,2020-05,82.88,AAPL,A,0.041664966981755924
84.4,Apple Inc.,2020-06-07,2020-06,84.70,AAPL,A,0.021799881143967248
87.12,Apple Inc.,2020-06-14,2020-06,87.43,AAPL,A,0.03171907702279331
88.1,Apple Inc.,2020-06-21,2020-06,88.41,AAPL,A,0.01118605431742914
90.71,Apple Inc.,2020-06-28,2020-06,91.03,AAPL,A,0.02919507168471913
95.58,Apple Inc.,2020-07-05,2020-07,95.92,AAPL,A,0.05229598852315931
95.99,Apple Inc.,2020-07-12,2020-07,96.33,AAPL,A,0.0042804262254332315
92.29,Apple Inc.,2020-07-19,2020-07,92.61,AAPL,A,-0.03930822609796003
105.89,Apple Inc.,2020-07-26,2020-07,106.26,AAPL,A,0.1374650261648771
110.72,Apple Inc.,2020-08-02,2020-08,111.11,AAPL,A,0.044603672426996255
114.71,Apple Inc.,2020-08-09,2020-08,114.91,AAPL,A,0.035402712423817206
124.16,Apple Inc.,2020-08-16,2020-08,124.37,AAPL,A,0.0791638521417326
124.59,Apple Inc.,2020-08-23,2020-08,124.81,AAPL,A,0.0034572898758629123
120.75,Apple Inc.,2020-08-30,2020-08,120.96,AAPL,A,-0.03130605377808937
111.81,Apple Inc.,2020-09-06,2020-09,112.00,AAPL,A,-0.07692129037340578
106.66,Apple Inc.,2020-09-13,2020-09,106.84,AAPL,A,-0.04715479698682046
112.09,Apple Inc.,2020-09-20,2020-09,112.28,AAPL,A,0.04965591486054777
112.83,Apple Inc.,2020-09-27,2020-09,113.02,AAPL,A,0.006580141117351168
116.77,Apple Inc.,2020-10-04,2020-10,116.97,AAPL,A,0.03432392693726882
118.82,Apple Inc.,2020-10-11,2020-10,119.02,AAPL,A,0.017403554839971136
114.84,Apple Inc.,2020-10-18,2020-10,115.04,AAPL,A,-0.034069887674731625
108.67,Apple Inc.,2020-10-25,2020-10,108.86,AAPL,A,-0.05522408817810298
118.49,Apple Inc.,2020-11-02,2020-11,118.69,AAPL,A,0.08651280175388809
119.26,Apple Inc.,2020-11-09,2020-11,119.26,AAPL,A,0.006477414866311371
117.34,Apple Inc.,2020-11-16,2020-11,117.34,AAPL,A,-0.01623028019724604
116.59,Apple Inc.,2020-11-23,2020-11,116.59,AAPL,A,-0.006412196552513905
122.94,Apple Inc.,2020-11-30,2020-11,122.94,AAPL,A,0.05303292453366382
140.37,Amgen Inc.,2015-11-30,2015-11,161.43,AMGN,,
134.91,Amgen Inc.,2015-12-07,2015-12,155.15,AMGN,,-0.039673904095508306
138.08,Amgen Inc.,2015-12-14,2015-12,158.80,AMGN,,0.023225337884391628
142.21,Amgen Inc.,2015-12-21,2015-12,163.55,AMGN,,0.02947161104948748
141.15,Amgen Inc.,2015-12-28,2015-12,162.33,AMGN,,-0.007481683685107043
131.05,Amgen Inc.,2016-01-04,2016-01,150.71,AMGN,,-0.07424422493008276
131.56,Amgen Inc.,2016-01-11,2016-01,151.30,AMGN,,0.0038840915514413155
135.71,Amgen Inc.,2016-01-18,2016-01,156.08,AMGN,,0.031057234772422504
132.8,Amgen Inc.,2016-01-25,2016-01,152.73,AMGN,,-0.021676019050945072
126.12,Amgen Inc.,2016-02-01,2016-02,145.04,AMGN,,-0.05161040236547354
125.84,Amgen Inc.,2016-02-08,2016-02,144.72,AMGN,,-0.0022225759268383882
131.44,Amgen Inc.,2016-02-15,2016-02,150.12,AMGN,,0.04353921497899016
129.23,Amgen Inc.,2016-02-22,2016-02,147.60,AMGN,,-0.016956711191912
127.82,Amgen Inc.,2016-02-29,2016-02,145.98,AMGN,,-0.010970738314964201
126.58,Amgen Inc.,2016-03-07,2016-03,144.57,AMGN,,-0.009748504874976582
127.4,Amgen Inc.,2016-03-13,2016-03,145.51,AMGN,,0.006457223790903299
130.67,Amgen Inc.,2016-03-20,2016-03,149.24,AMGN,,0.025343317862992265
134.98,Amgen Inc.,2016-03-27,2016-03,154.16,AMGN,,0.03245155831420554
136.99,Amgen Inc.,2016-04-03,2016-04,156.46,AMGN,,0.014781311148038156
140.2,Amgen Inc.,2016-04-10,2016-04,160.13,AMGN,,0.023162044137190918
142.88,Amgen Inc.,2016-04-17,2016-04,163.19,AMGN,,0.0189351425276989
138.6,Amgen Inc.,2016-04-24,2016-04,158.30,AMGN,,-0.03041303037238574
134.13,Amgen Inc.,2016-05-01,2016-05,153.19,AMGN,,-0.032782607841803646
133.39,Amgen Inc.,2016-05-08,2016-05,152.35,AMGN,,-0.005532310761046766
132.36,Amgen Inc.,2016-05-15,2016-05,150.18,AMGN,,-0.007751685099540495
138.14,Amgen Inc.,2016-05-22,2016-05,156.74,AMGN,,0.04274218060741486
140.3,Amgen Inc.,2016-05-29,2016-05,159.19,AMGN,,0.015515323447588436
136.41,Amgen Inc.,2016-06-05,2016-06,154.78,AMGN,,-0.0281179306033863
131.86,Amgen Inc.,2016-06-12,2016-06,149.62,AMGN,,-0.033924302819874796
129.07,Amgen Inc.,2016-06-19,2016-06,146.45,AMGN,,-0.021385860838058157
135.97,Amgen Inc.,2016-06-26,2016-06,154.28,AMGN,,0.052079380320498636
141.98,Amgen Inc.,2016-07-03,2016-07,161.10,AMGN,,0.04325192944364531
143.9,Amgen Inc.,2016-07-10,2016-07,163.28,AMGN,,0.013432411282082057
146.01,Amgen Inc.,2016-07-17,2016-07,165.67,AMGN,,0.014556498620150293
151.62,Amgen Inc.,2016-07-24,2016-07,172.03,AMGN,,0.037702278114685406
153.05,Amgen Inc.,2016-07-31,2016-07,173.66,AMGN,,0.009387274763263953
152.49,Amgen Inc.,2016-08-07,2016-08,173.02,AMGN,,-0.0036656452645003057
153.02,Amgen Inc.,2016-08-14,2016-08,173.62,AMGN,,0.003469611676784723
152.44,Amgen Inc.,2016-08-21,2016-08,171.97,AMGN,,-0.0037975557980463037
150.49,Amgen Inc.,2016-08-28,2016-08,169.77,AMGN,,-0.012874439207032573
147.64,Amgen Inc.,2016-09-04,2016-09,166.55,AMGN,,-0.019119758636829687
153.32,Amgen Inc.,2016-09-11,2016-09,172.96,AMGN,,0.03775036235055662
154.95,Amgen Inc.,2016-09-18,2016-09,174.80,AMGN,,0.010575243721403282
147.87,Amgen Inc.,2016-09-25,2016-09,166.81,AMGN,,-0.04676897484836129
148.48,Amgen Inc.,2016-10-02,2016-10,167.50,AMGN,BBB,0.004116759652494473
143.52,Amgen Inc.,2016-10-09,2016-10,161.90,AMGN,BBB,-0.03397587072740471
140.51,Amgen Inc.,2016-10-16,2016-10,158.51,AMGN,BBB,-0.021195737692236705
128.7,Amgen Inc.,2016-10-23,2016-10,145.18,AMGN,BBB,-0.08779454601616798
120.03,Amgen Inc.,2016-10-30,2016-10,135.40,AMGN,BBB,-0.06974240306482749
132.12,Amgen Inc.,2016-11-07,2016-11,149.04,AMGN,BBB,0.09596888898533518
128.74,Amgen Inc.,2016-11-14,2016-11,145.23,AMGN,BBB,-0.02591573389811863
129.79,Amgen Inc.,2016-11-21,2016-11,145.43,AMGN,BBB,0.00812289307519709
